project	project_alt_name	tag2	tag	category	year	annual_allocation	non_annual_allocation	total	notes_annual	notes_non-annual
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1980			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1981			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1982			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1983			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1984			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1985			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1986			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1987			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1988			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1989			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1990			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1991			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1992			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1993			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1994			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1995			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1996			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1997			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1998			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	1999			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2000			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2001			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2002			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2003			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2004			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2005			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2006			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2007		1170	1170		To fund the renovation of its centre in Kai Yip Estate
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2008			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2009			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2010			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2011			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2012			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2013			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2014			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2015		2660	2660		To fund its community mutual support project for the disabled for three years
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2016			0		
1st Step Association		Social welfare provision (HKCSS agency members)	Other	Community services	2017			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1980			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1981		65	65		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1982			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1983			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1984			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1985		80	80		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1986			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1987			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1988			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1989			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1990			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1991			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1992			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1993			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1994			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1995			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1996			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1997			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1998			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	1999			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2000			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2001			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2002			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2003			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2004			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2005			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2006			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2007			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2008			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2009			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2010			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2011			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2012			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2013			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2014			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2015			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2016			0		
29 Squadron Royal Corps of Transport	29 Squadron RCT Motor Cycle Display Team	Other	Other	Community services	2017			0		
3rd International Abilympics 1991		Other	Other	Community services	1980			0		
3rd International Abilympics 1991		Other	Other	Community services	1981			0		
3rd International Abilympics 1991		Other	Other	Community services	1982			0		
3rd International Abilympics 1991		Other	Other	Community services	1983			0		
3rd International Abilympics 1991		Other	Other	Community services	1984			0		
3rd International Abilympics 1991		Other	Other	Community services	1985			0		
3rd International Abilympics 1991		Other	Other	Community services	1986			0		
3rd International Abilympics 1991		Other	Other	Community services	1987			0		
3rd International Abilympics 1991		Other	Other	Community services	1988			0		
3rd International Abilympics 1991		Other	Other	Community services	1989			0		
3rd International Abilympics 1991		Other	Other	Community services	1990		6000	6000		
3rd International Abilympics 1991		Other	Other	Community services	1991		4000	4000		
3rd International Abilympics 1991		Other	Other	Community services	1992			0		
3rd International Abilympics 1991		Other	Other	Community services	1993			0		
3rd International Abilympics 1991		Other	Other	Community services	1994			0		
3rd International Abilympics 1991		Other	Other	Community services	1995			0		
3rd International Abilympics 1991		Other	Other	Community services	1996			0		
3rd International Abilympics 1991		Other	Other	Community services	1997			0		
3rd International Abilympics 1991		Other	Other	Community services	1998			0		
3rd International Abilympics 1991		Other	Other	Community services	1999			0		
3rd International Abilympics 1991		Other	Other	Community services	2000			0		
3rd International Abilympics 1991		Other	Other	Community services	2001			0		
3rd International Abilympics 1991		Other	Other	Community services	2002			0		
3rd International Abilympics 1991		Other	Other	Community services	2003			0		
3rd International Abilympics 1991		Other	Other	Community services	2004			0		
3rd International Abilympics 1991		Other	Other	Community services	2005			0		
3rd International Abilympics 1991		Other	Other	Community services	2006			0		
3rd International Abilympics 1991		Other	Other	Community services	2007			0		
3rd International Abilympics 1991		Other	Other	Community services	2008			0		
3rd International Abilympics 1991		Other	Other	Community services	2009			0		
3rd International Abilympics 1991		Other	Other	Community services	2010			0		
3rd International Abilympics 1991		Other	Other	Community services	2011			0		
3rd International Abilympics 1991		Other	Other	Community services	2012			0		
3rd International Abilympics 1991		Other	Other	Community services	2013			0		
3rd International Abilympics 1991		Other	Other	Community services	2014			0		
3rd International Abilympics 1991		Other	Other	Community services	2015			0		
3rd International Abilympics 1991		Other	Other	Community services	2016			0		
3rd International Abilympics 1991		Other	Other	Community services	2017			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1980			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1981			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1982		150	150		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1983			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1984			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1985			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1986			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1987			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1988			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1989			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1990			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1991			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1992			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1993			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1994			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1995			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1996			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1997			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1998			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	1999			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2000			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2001			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2002			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2003			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2004			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2005			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2006			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2007			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2008			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2009			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2010			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2011			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2012			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2013			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2014			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2015			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2016			0		
Aberdeen & Chai Wan Swimming Pool Complexes		Other	Other	"Sports, recreation and culture"	2017			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1980			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1981			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1982			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1983			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1984			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1985			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1986			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1987			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1988			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1989			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1990		1680	1680		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1991			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1992		13350	13350		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1993			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1994			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1995			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1996			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1997			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1998			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	1999			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2000			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2001			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2002			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2003			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2004			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2005			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2006			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2007			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2008			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2009			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2010			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2011			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2012			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2013			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2014			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2015			0		
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2016		9380	9380		To fund a community intergenerational engagement project for three years
Aberdeen Kaifong Welfare Association Social Service Centre	Aberdeen Kaifong Welfare Association Community Centre	Social welfare provision (HKCSS agency members)	Other	Community services	2017			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1980			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1981			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1982			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1983			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1984			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1985			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1986			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1987			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1988			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1989			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1990			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1991			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1992			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1993			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1994			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1995			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1996			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1997			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1998			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	1999			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2000			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2001			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2002			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2003			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2004			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2005			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2006			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2007		398	398		To fund the installation of air-conditioning facilities in all its classrooms
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2008			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2009			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2010			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2011			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2012			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2013			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2014			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2015			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2016			0		
Aberdeen St Peter's Catholic Primary School		Other	Other	Education and training	2017			0		
Aberdeen Technical School		Other	Other	Education and training	1980	20		20		
Aberdeen Technical School		Other	Other	Education and training	1981	20		20		
Aberdeen Technical School		Other	Other	Education and training	1982	24		24		
Aberdeen Technical School		Other	Other	Education and training	1983	24		24		
Aberdeen Technical School		Other	Other	Education and training	1984	27		27		
Aberdeen Technical School		Other	Other	Education and training	1985	30		30		
Aberdeen Technical School		Other	Other	Education and training	1986	30		30		
Aberdeen Technical School		Other	Other	Education and training	1987	30		30		
Aberdeen Technical School		Other	Other	Education and training	1988	30		30		
Aberdeen Technical School		Other	Other	Education and training	1989	30		30		
Aberdeen Technical School		Other	Other	Education and training	1990	30		30		
Aberdeen Technical School		Other	Other	Education and training	1991	15		15		
Aberdeen Technical School		Other	Other	Education and training	1992	15		15		
Aberdeen Technical School		Other	Other	Education and training	1993	15		15		
Aberdeen Technical School		Other	Other	Education and training	1994	15		15		
Aberdeen Technical School		Other	Other	Education and training	1995	15		15		
Aberdeen Technical School		Other	Other	Education and training	1996	15		15		
Aberdeen Technical School		Other	Other	Education and training	1997	15		15		
Aberdeen Technical School		Other	Other	Education and training	1998			0		
Aberdeen Technical School		Other	Other	Education and training	1999			0		
Aberdeen Technical School		Other	Other	Education and training	2000			0		
Aberdeen Technical School		Other	Other	Education and training	2001			0		
Aberdeen Technical School		Other	Other	Education and training	2002			0		
Aberdeen Technical School		Other	Other	Education and training	2003			0		
Aberdeen Technical School		Other	Other	Education and training	2004			0		
Aberdeen Technical School		Other	Other	Education and training	2005			0		
Aberdeen Technical School		Other	Other	Education and training	2006			0		
Aberdeen Technical School		Other	Other	Education and training	2007			0		
Aberdeen Technical School		Other	Other	Education and training	2008			0		
Aberdeen Technical School		Other	Other	Education and training	2009			0		
Aberdeen Technical School		Other	Other	Education and training	2010			0		
Aberdeen Technical School		Other	Other	Education and training	2011			0		
Aberdeen Technical School		Other	Other	Education and training	2012			0		
Aberdeen Technical School		Other	Other	Education and training	2013			0		
Aberdeen Technical School		Other	Other	Education and training	2014			0		
Aberdeen Technical School		Other	Other	Education and training	2015			0		
Aberdeen Technical School		Other	Other	Education and training	2016			0		
Aberdeen Technical School		Other	Other	Education and training	2017			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1980			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1981			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1982			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1983			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1984			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1985			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1986			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1987			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1988			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1989			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1990			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1991			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1992			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1993			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1994			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1995			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1996			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1997			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1998			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	1999			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	2000			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	2001			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	2002			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	2003			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	2004			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	2005			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	2006			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	2007			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	2008			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	2009			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	2010			0		
ABM Hong Kong Swatow Baptist Church Community Service Association		Social welfare provision (HKCSS agency members)	Other	Community services	2011			0		
